lat, long, title, description
43.43388,-112.121," ""Barn"""," ""45th South"""
43.43361,-112.04333," ""Barn"""," ""5th West #1"""
43.444166,-112.04333," ""Barn"""," ""5th West #2"""
43.44583,-112.04333," ""Barn """," ""5th West #3"""
43.45333,-112.04333," ""Barn"""," ""5th West #4"""
43.43916,-112.042222," ""Barn"""," ""65th South #1"""
43.4394444,-112.0225," ""Barn"""," ""65th South #2"""
43.435347,-112.026833," ""Barn"""," ""65th South #3"""
43.482222,-112.09694," ""Barn"""," "" Mill Road #1"""
43.482222,-112.0997," ""Barn"""," ""Mill Road #2"""
43.439603,-112.135361," ""Barn"""," ""St. John Road (W65 South)"""
43.456388,-112.10027," ""Barn"""," ""New Sweden School Road (S 35th W) #1"""
43.4922,-112.10027," ""Barn"""," ""New Sweden School Road (S 35th W) #2"""
43.4308,-112.103," ""Barn"""," ""New Sweden School Road (S 35th W) #3"""
43.471624,-112.073958," ""Barn"""," ""S Pioneer Lane"""
43.42666,-112.14305," ""Barn"""," ""South 55th W #1"""
43.42972,-112.142777," ""Barn"""," ""South 55th W #2"""
43.45777,-112.14777," ""Barn"""," ""South 55th W #3"""
43.46416,-112.023611," ""Barn"""," ""South Holmes #1"""
43.445555,-112.023611," ""Barn"""," ""South Holmes #2"""
43.4625,-112.015125," ""Barn"""," ""East Kinswood Street"""
